cve,cvss,epss,percentile
CVE-1999-0351,6.4,0.0064700000,0.7689100000
CVE-1999-0472,5.0,0.0022200000,0.6009000000
CVE-1999-0497,0.0,0.1987400000,0.9571100000
CVE-1999-0512,10.0,0.0150000000,0.8539000000
CVE-1999-0520,6.4,0.0202100000,0.8757400000
CVE-1999-0527,10.0,0.0037400000,0.6950800000
CVE-1999-0585,2.1,0.0004300000,0.0806700000
CVE-1999-0618,10.0,0.1169800000,0.9462200000
CVE-1999-0651,7.5,0.0150000000,0.8539000000
CVE-1999-1593,7.6,0.0235100000,0.8850800000
CVE-2000-0147,2.1,0.0004200000,0.0568200000
CVE-2000-0234,5.0,0.0049500000,0.7343600000
CVE-2000-0328,5.0,0.0269800000,0.8923600000
CVE-2000-0345,2.1,0.0004500000,0.1273400000
CVE-2000-0515,10.0,0.0098700000,0.8173600000
CVE-2000-0649,2.6,0.0036000000,0.6898200000
CVE-2000-0666,10.0,0.0550500000,0.9230600000
CVE-2000-0673,5.0,0.0591400000,0.9255100000
CVE-2000-0800,10.0,0.0072700000,0.7846800000
CVE-2000-0868,5.0,0.8895100000,0.9834100000
CVE-2000-0916,7.5,0.0031800000,0.6693600000
CVE-2000-1081,4.6,0.0014300000,0.4970100000
CVE-2000-1200,5.0,0.0057700000,0.7544800000
CVE-2001-0052,2.1,0.0006100000,0.2436400000
CVE-2001-0167,7.6,0.0950700000,0.9403800000
CVE-2001-0168,10.0,0.2118500000,0.9582100000
CVE-2001-0288,7.5,0.0023500000,0.6112700000
CVE-2001-0328,5.0,0.0252200000,0.8888600000
CVE-2001-0344,7.2,0.0006000000,0.2383700000
CVE-2001-0380,6.4,0.0149800000,0.8535400000
CVE-2001-0385,5.0,0.0694900000,0.9313400000
CVE-2001-0414,10.0,0.9671700000,0.9952400000
CVE-2001-0509,5.0,0.0038500000,0.6996400000
CVE-2001-0514,7.5,0.0086500000,0.8039000000
CVE-2001-0542,7.5,0.2369000000,0.9598900000
CVE-2001-0702,7.5,0.0203100000,0.8760200000
CVE-2001-0815,7.5,0.4756600000,0.9702600000
CVE-2001-0877,5.0,0.9718200000,0.9974300000
CVE-2001-0879,5.0,0.0045400000,0.7228400000
CVE-2001-0929,7.5,0.0053900000,0.7450700000
CVE-2001-1013,5.0,0.0363100000,0.9055500000
CVE-2001-1210,6.4,0.0050200000,0.7362800000
CVE-2001-1377,5.0,0.0036300000,0.6909100000
CVE-2001-1446,7.5,0.0116600000,0.8330600000
CVE-2001-1473,7.5,0.0025800000,0.6308900000
CVE-2001-1496,7.5,0.0446100000,0.9142800000
CVE-2001-1571,5.0,0.0166800000,0.8615200000
CVE-2002-0012,10.0,0.9546100000,0.9914500000
CVE-2002-0013,10.0,0.9576800000,0.9921900000
CVE-2002-0056,7.5,0.0926900000,0.9396000000
CVE-2002-0109,6.4,0.0119700000,0.8355800000
CVE-2002-0154,7.5,0.0641600000,0.9283300000
CVE-2002-0224,5.0,0.0617500000,0.9270100000
CVE-2002-0378,7.5,0.0065100000,0.7698300000
CVE-2002-0419,5.0,0.0244400000,0.8872000000
CVE-2002-0478,5.0,0.0033200000,0.6767300000
CVE-2002-0510,5.0,0.0031100000,0.6649800000
CVE-2002-0597,5.0,0.9553700000,0.9916900000
CVE-2002-0624,7.5,0.0813500000,0.9355600000
CVE-2002-0641,7.5,0.0290200000,0.8957200000
CVE-2002-0642,7.2,0.9742600000,0.9991400000
CVE-2002-0645,7.5,0.0019700000,0.5713200000
CVE-2002-0649,7.5,0.9709000000,0.9969000000
CVE-2002-0650,5.0,0.0871700000,0.9376900000
CVE-2002-0677,7.5,0.0078900000,0.7949100000
CVE-2002-0721,10.0,0.0615600000,0.9269100000
CVE-2002-0724,7.5,0.1054900000,0.9433700000
CVE-2002-0733,7.5,0.1078200000,0.9440700000
CVE-2002-1117,5.0,0.0065300000,0.7702500000
CVE-2002-1145,10.0,0.0168400000,0.8622100000
CVE-2002-1278,7.5,0.0138300000,0.8476800000
CVE-2002-1322,5.0,0.0372000000,0.9067000000
CVE-2002-1623,5.0,0.0043100000,0.7152300000
CVE-2002-1644,7.2,0.0006200000,0.2452600000
CVE-2002-1706,5.0,0.0093000000,0.8118600000
CVE-2002-1717,5.0,0.0103000000,0.8212500000
CVE-2002-1981,5.0,0.0061000000,0.7613600000
CVE-2002-2088,10.0,0.0095300000,0.8141300000
CVE-2003-0085,10.0,0.9619600000,0.9932900000
CVE-2003-0196,10.0,0.0449400000,0.9147500000
CVE-2003-0201,10.0,0.9706600000,0.9967700000
CVE-2003-0213,7.5,0.2900200000,0.9630900000
CVE-2003-0226,5.0,0.0306100000,0.8980900000
CVE-2003-0230,7.2,0.0005300000,0.1954900000
CVE-2003-0231,5.0,0.1146300000,0.9456500000
CVE-2003-0232,7.2,0.0004300000,0.0813800000
CVE-2003-0252,10.0,0.2750300000,0.9621800000
CVE-2003-0285,5.0,0.0052400000,0.7415100000
CVE-2003-0345,7.5,0.3266700000,0.9647800000
CVE-2003-0347,10.0,0.9445800000,0.9894100000
CVE-2003-0352,7.5,0.9705600000,0.9967300000
CVE-2003-0528,10.0,0.6964000000,0.9761700000
CVE-2003-0533,7.5,0.9719200000,0.9974800000
CVE-2003-0567,7.8,0.8201000000,0.9798800000
CVE-2003-0605,7.5,0.9678400000,0.9955000000
CVE-2003-0647,7.5,0.0131000000,0.8434600000
CVE-2003-0661,5.0,0.0090600000,0.8090300000
CVE-2003-0663,5.0,0.0447100000,0.9144000000
CVE-2003-0715,10.0,0.7033000000,0.9763700000
CVE-2003-0719,7.5,0.9501800000,0.9904700000
CVE-2003-0786,10.0,0.0178200000,0.8661200000
CVE-2003-0787,7.5,0.0067200000,0.7741200000
CVE-2003-0806,7.5,0.4855300000,0.9706400000
CVE-2003-0807,5.0,0.0485500000,0.9180100000
CVE-2003-0813,5.1,0.2293900000,0.9593800000
CVE-2003-0818,7.5,0.9737000000,0.9986500000
CVE-2003-0820,7.5,0.1045800000,0.9431600000
CVE-2003-0821,7.5,0.2511100000,0.9608400000
CVE-2003-0906,7.6,0.1033200000,0.9428800000
CVE-2003-0907,5.1,0.9572000000,0.9920600000
CVE-2003-0908,7.2,0.0004400000,0.0852600000
CVE-2003-0909,7.2,0.0549100000,0.9229900000
CVE-2003-0910,7.2,0.0004400000,0.0852600000
CVE-2003-0995,7.5,0.0224000000,0.8823400000
CVE-2003-1030,7.5,0.3198000000,0.9645300000
CVE-2003-1398,9.3,0.0059300000,0.7581800000
CVE-2003-1418,4.3,0.0015700000,0.5173000000
CVE-2003-1566,5.0,0.0421000000,0.9118900000
CVE-2003-1567,5.8,0.0078400000,0.7937300000
CVE-2004-0054,7.5,0.0555300000,0.9234200000
CVE-2004-0079,5.0,0.0099400000,0.8182300000
CVE-2004-0081,5.0,0.0026000000,0.6332400000
CVE-2004-0112,5.0,0.0035000000,0.6850600000
CVE-2004-0116,5.0,0.0850500000,0.9368400000
CVE-2004-0117,7.5,0.4034800000,0.9681300000
CVE-2004-0118,7.2,0.0194900000,0.8731000000
CVE-2004-0119,7.5,0.9670300000,0.9951800000
CVE-2004-0120,5.0,0.9663400000,0.9949400000
CVE-2004-0123,7.5,0.2560600000,0.9610900000
CVE-2004-0124,2.6,0.0054900000,0.7475700000
CVE-2004-0212,10.0,0.8609300000,0.9818200000
CVE-2004-0230,5.0,0.0026500000,0.6368500000
CVE-2004-0368,10.0,0.9034100000,0.9843800000
CVE-2004-0574,10.0,0.9550300000,0.9915800000
CVE-2004-0790,5.0,0.9651300000,0.9944000000
CVE-2004-0791,5.0,0.6124100000,0.9740000000
CVE-2004-0846,7.5,0.7243400000,0.9769400000
CVE-2004-1060,5.0,0.3592800000,0.9663000000
CVE-2004-1154,10.0,0.1060300000,0.9435800000
CVE-2004-1464,5.0,0.0179500000,0.8668300000
CVE-2004-1653,6.4,0.0132400000,0.8442400000
CVE-2004-1856,5.0,0.8979500000,0.9840200000
CVE-2004-1857,2.1,0.9234600000,0.9864100000
CVE-2004-2026,7.5,0.1618200000,0.9532500000
CVE-2004-2320,5.8,0.0056300000,0.7503500000
CVE-2004-2761,5.0,0.0122400000,0.8375100000
CVE-2005-0048,7.5,0.2451100000,0.9604400000
CVE-2005-0509,4.3,0.0120900000,0.8363700000
CVE-2005-0688,5.0,0.0891600000,0.9384300000
CVE-2005-1057,7.5,0.0047400000,0.7283500000
CVE-2005-1058,7.5,0.0047400000,0.7283500000
CVE-2005-1268,5.0,0.0088600000,0.8068200000
CVE-2005-1794,6.4,0.0176000000,0.8653300000
CVE-2005-1978,7.5,0.5196800000,0.9716600000
CVE-2005-1979,5.0,0.2164900000,0.9584500000
CVE-2005-1980,5.0,0.0747800000,0.9332200000
CVE-2005-1983,10.0,0.9750800000,0.9997800000
CVE-2005-2119,5.0,0.9290200000,0.9871100000
CVE-2005-2120,6.5,0.0318000000,0.8997900000
